subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
49,immediate,5,lung,plane,T,NaN,4381.42096712899,hurricane,4385.00107156257,4387.39296342591,2
49,immediate,5,mail,hostage,T,1,4387.72057874038,box,4389.80888424981,4390.29682917089,2
49,immediate,6,pony,leaf,T,NaN,4616.30671803325,dollar,4617.83815632075,4618.71810720395,2
49,immediate,6,apple,jewel,T,1,4619.20620908631,peach,4620.27005580275,4621.33400786436,2
49,immediate,6,fountain,tea,T,NaN,4621.68938721412,wedding,4622.62194698995,4626.84571279889,2
49,immediate,6,toe,bedroom,T,1,4627.27237430194,hammer,4631.5175155203,4632.31749191574,2
49,immediate,7,park,coffee,T,NaN,5142.93981259427,key,5144.37351350878,5145.02949060934,2
49,immediate,7,willow,shore,T,1,5145.95599258539,pocket,5147.77337900504,5148.80530191049,2
49,immediate,7,crowd,collar,T,NaN,5149.35575545312,dress,5150.50927324212,5151.32522648456,2
49,immediate,7,leather,bread,T,1,5151.90559624307,dress,5154.65304524499,5155.47704335663,2
49,immediate,8,avenue,shop,T,1,5383.34147318422,mayor,5386.21022608763,5389.93801538764,2
49,immediate,8,rash,chocolate,T,NaN,5390.19072576178,red,5392.93788830937,5393.34583127447,2
49,immediate,8,bus,tape,T,NaN,5393.57384469708,ticket,5395.91372925206,5397.10568021736,2
49,immediate,8,foot,pepper,T,1,5397.37360859109,door,5398.80959117926,5399.29755873899,2
49,immediate,9,emperor,laundry,T,1,5596.09494285855,forest,5597.33631308221,5598.64829867558,2
49,immediate,9,beach,pen,T,NaN,5599.39441833622,suit,5600.28815675844,5601.20012412015,2
49,immediate,9,screw,cell,T,NaN,5601.44430002665,tabacco,5602.28806469461,5606.45585509335,2
49,immediate,9,bat,nest,T,1,5607.17726904884,hat,5609.27173619397,5609.83176377086,2
49,immediate,10,ground,whistle,T,NaN,5840.99645388251,cellar,5842.38085295777,5844.21273294035,2
49,immediate,10,brandy,salad,T,1,5844.92920472852,poison,5845.96467435515,5847.10860603595,2
49,immediate,10,nurse,mole,T,NaN,5847.52904643911,wine,5848.66054648484,5849.36450151664,2
49,immediate,10,spider,patch,T,1,5849.72891217684,flame,5851.11647039967,5851.92436398234,2
