sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,banner,89,2859560.44165769
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,ticket,90,2859564.45807333
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,siren,91,2859806.4589505
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,shark,92,2859810.47537126
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,mole,93,2859814.4917709
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,tooth,94,2859818.50816873
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,stomach,95,2859822.52457863
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,rifle,96,2859826.5409843
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,blouse,97,2859830.55739481
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,duck,98,2859834.57380048
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,ant,99,2859838.59020586
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,shower,100,2859842.60666858
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,drum,101,2859846.62301026
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,seat,102,2859850.63940598
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,cent,103,2859854.65583399
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,board,104,2859858.67222759
18,pilot1,2015-02-25-1505m51s,2858059.19005149,6,S,hose,105,2859862.68861364
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,boot,106,2860073.80821349
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,lion,107,2860077.8246089
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,pepper,108,2860081.84097323
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,rabbi,109,2860085.85742207
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,iron,110,2860089.87382291
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,tea,111,2860093.89020112
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,helmet,112,2860097.90663124
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,horse,113,2860101.92303118
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,gold,114,2860105.93944169
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,jeep,115,2860109.95584374
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,camel,116,2860113.97225092
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,mouth,117,2860117.9886572
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,mate,118,2860122.00503209
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,bucket,119,2860126.02147278
18,pilot1,2015-02-25-1505m51s,2858059.19005149,7,T,wall,120,2860130.03789203
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,bus,121,2860372.13875142
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,chair,122,2860376.15514834
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,magazine,123,2860380.17152112
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,star,124,2860384.18796724
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,boss,125,2860388.20436114
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,basement,126,2860392.22076984
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,arm,127,2860396.23718276
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,beast,128,2860400.25359266
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,soup,129,2860404.26996935
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,uniform,130,2860408.28639706
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,dame,131,2860412.30275656
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,ball,132,2860416.31921958
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,frog,133,2860420.3356165
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,mattress,134,2860424.35201131
18,pilot1,2015-02-25-1505m51s,2858059.19005149,8,S,hat,135,2860428.3684194
